Order_ID,Order_Date,Ship_Date,First_Name,Last_Name,Full_Name,Country,Region,Category,Sub_Category,Sales,Profit,Quantity,Discount
ORD00001,29-09-2022,02-10-2022,Priya,Brown,Priya Brown,Canada,East,Furniture,Storage,1052,-239,8,0.2
ORD00002,14-06-2021,16-06-2021,Sneha,Brown,Sneha Brown,Canada,North,Office Supplies,Storage,1645,-297,6,0
ORD00003,13-12-2021,18-12-2021,Ava,Smith,Ava Smith,India,North,Furniture,Chairs,336,-17,12,0.1
ORD00004,10-07-2021,19-07-2021,Emma,Anderson,Emma Anderson,UK,North,Office Supplies,Chairs,400,140,4,0.1
ORD00005,15-11-2022,17-11-2022,Liam,Smith,Liam Smith,Australia,North,Office Supplies,Tables,1778,-40,14,0.1
ORD00006,20-01-2021,29-01-2021,Liam,Patel,Liam Patel,USA,North,Office Supplies,Tables,1274,17,10,0.1
ORD00007,16-11-2021,21-11-2021,Ava,Sharma,Ava Sharma,UK,East,Office Supplies,Storage,1640,-74,10,0.2
ORD00008,09-04-2021,14-04-2021,Sneha,Sharma,Sneha Sharma,Australia,South,Furniture,Tables,997,-182,8,0
ORD00009,29-11-2021,09-12-2021,Rahul,Johnson,RahulJohnson,Australia,South,Technology,Phones,365,-59,6,0
ORD00010,26-01-2021,29-01-2021,John,Brown,John Brown,USA,West,Furniture,Phones,534,-110,11,0
ORD00011,02-01-2021,03-01-2021,Liam,Verma,LiamVerma,USA,West,Technology,Accessories,1670,-45,12,0
ORD00012,24-01-2021,27-01-2021,Priya,Verma,Priya Verma,Canada,West,Office Supplies,Accessories,1513,244,2,0.1
ORD00013,31-03-2021,10-04-2021,Ava,Taylor,Ava Taylor,India,South,Furniture,Accessories,967,-198,4,0.2
ORD00014,04-12-2021,06-12-2021,Liam,Patel,Liam Patel,India,East,Technology,Phones,1043,198,5,0
ORD00015,12-10-2021,16-10-2021,Liam,Brown,Liam Brown,USA,North,Furniture,Phones,631,-44,5,0
ORD00016,06-07-2021,11-07-2021,Amit,Brown,Amit Brown,India,North,Office Supplies,Accessories,728,-30,9,0.2
ORD00017,02-09-2021,11-09-2021,Liam,Brown,Liam Brown,Australia,North,Office Supplies,Storage,1772,-440,15,0.2
ORD00018,02-10-2022,05-10-2022,Priya,Anderson,Priya Anderson,India,North,Furniture,Binders,1699,57,4,0
ORD00019,08-08-2021,16-08-2021,Priya,Sharma,Priya Sharma,Australia,East,Technology,Accessories,1169,-289,7,0
ORD00020,07-11-2022,10-11-2022,Olivia,Taylor,OliviaTaylor,Australia,West,Technology,Phones,495,-71,5,0.2
ORD00021,31-01-2022,01-02-2022,Ava,Sharma,Ava Sharma,USA,East,Technology,Phones,716,-45,2,0
ORD00022,25-02-2021,02-03-2021,Amit,Johnson,Amit Johnson,India,South,Furniture,Phones,822,105,2,0.1
ORD00023,06-11-2022,11-11-2022,Priya,Brown,Priya Brown,UK,South,Technology,Phones,1991,81,8,0
ORD00024,27-09-2021,04-10-2021,Noah,Smith,Noah Smith,Canada,North,Furniture,Binders,394,-89,15,0.1
ORD00025,27-11-2022,01-12-2022,Priya,Patel,Priya Patel,USA,South,Furniture,Phones,1973,449,15,0
ORD00026,19-12-2022,24-12-2022,John,Johnson,John Johnson,Australia,South,Technology,Tables,622,0,12,0.1
ORD00027,23-07-2021,02-08-2021,Priya,Patel,PriyaPatel,Australia,West,OfficeSupplies,Binders,1520,515,2,0.2
ORD00028,08-06-2021,11-06-2021,Priya,Sharma,Priya Sharma,USA,East,Furniture,Accessories,1710,225,4,0
ORD00029,26-07-2021,03-08-2021,Priya,Smith,Priya Smith,USA,East,Technology,Accessories,1169,30,1,0
ORD00030,06-08-2022,15-08-2022,Ava,Taylor,Ava Taylor,Canada,South,Technology,Accessories,1491,349,13,0.2
ORD00031,01-01-2021,10-01-2021,Priya,Patel,Priya Patel,Canada,South,Office Supplies,Chairs,1282,-102,4,0
ORD00032,23-01-2022,02-02-2022,Noah,Verma,Noah Verma,USA,East,Technology,Tables,1581,-45,5,0.1
ORD00033,29-01-2021,30-01-2021,Noah,Johnson,Noah Johnson,UK,North,Technology,Chairs,910,-265,12,0.1
ORD00034,13-11-2021,23-11-2021,John,Anderson,John Anderson,Australia,North,Technology,Chairs,120,17,8,0.1
ORD00035,24-03-2022,25-03-2022,Emma,Sharma,Emma Sharma,UK,North,Technology,Binders,429,-43,11,0
ORD00036,17-11-2022,27-11-2022,Olivia,Patel,Olivia Patel,Australia,East,Technology,Storage,1643,527,9,0.1
